慶應義塾志木高等学校	私立	男子	埼玉県 志木市 本町4-14-1	中高一貫	慶應義塾志木
早稲田大学本庄高等学院	私立	共学	埼玉県 本庄市 栗崎239-3		早稲田大学本庄
大宮高等学校	公立	共学	埼玉県 さいたま市大宮区 天沼町2-323		大宮
栄東高等学校	私立	共学	埼玉県 さいたま市見沼区 砂町2-77	中高一貫	栄東
浦和高等学校	公立	男子	埼玉県 さいたま市浦和区 領家5-3-3		浦和
開智高等学校	私立	共学	埼玉県 さいたま市岩槻区 徳力西186		開智
浦和第一女子高等学校	公立	女子	埼玉県 さいたま市浦和区 岸町3-8-45		浦和第一女子
西武学園文理高等学校	私立	共学	埼玉県 狭山市 柏原新田311-1	中高一貫	西武学園文理
秀明高等学校	私立	共学	埼玉県 川越市 笠幡4792	中高一貫	秀明
立教新座高等学校	私立	男子	埼玉県 新座市 北野1-2-25	中高一貫	立教新座
淑徳与野高等学校	私立	女子	埼玉県 さいたま市中央区 上落合5-19-18	中高一貫	淑徳与野
さいたま市立浦和高等学校	公立	共学	埼玉県 さいたま市浦和区 元町1-28-17	中高一貫	さいたま市立浦和
川越東高等学校	私立	男子	埼玉県 川越市 久下戸6060		川越東
春日部高等学校	公立	男子	埼玉県 春日部市 粕壁5539		春日部
川越高等学校	公立	男子	埼玉県 川越市 郭町2-6		川越
春日部共栄高等学校	私立	共学	埼玉県 春日部市 上大増新田213番地	中高一貫	春日部共栄
狭山ヶ丘高等学校	私立	共学	埼玉県 入間市 下藤沢981	中高一貫	狭山ヶ丘
川越女子高等学校	公立	女子	埼玉県 川越市 六軒町1-23		川越女子
越谷北高等学校	公立	共学	埼玉県 越谷市 大泊500-1		越谷北
開智未来高等学校	私立	共学	埼玉県 加須市 麦倉1238	中高一貫	開智未来
城北埼玉高等学校	私立	男子	埼玉県 川越市 大字古市場585-1	中高一貫	城北埼玉
星野高等学校	私立	共学	埼玉県 川越市 石原町2-71-11	中高一貫	星野
所沢北高等学校	公立	共学	埼玉県 所沢市 並木5-4		所沢北
蕨高等学校	公立	共学	埼玉県 蕨市 北町５丁目３-８		蕨
大宮開成高等学校	私立	共学	埼玉県 さいたま市大宮区 堀の内町1-615	中高一貫	大宮開成
獨協埼玉高等学校	私立	共学	埼玉県 越谷市 恩間新田寺前316	中高一貫	獨協埼玉
細田学園高等学校	私立	共学	埼玉県 志木市 本町2-7-1		細田学園
本庄東高等学校	私立	共学	埼玉県 本庄市 日の出1-4-5	中高一貫	本庄東
浦和西高等学校	公立	共学	埼玉県 さいたま市浦和区 木崎3-1-1		浦和西
不動岡高等学校	公立	共学	埼玉県 加須市 不動岡1-7-45		不動岡
昌平高等学校	私立	共学	埼玉県 北葛飾郡杉戸町 下野851	中高一貫	昌平
武南高等学校	私立	共学	埼玉県 蕨市 塚越5-10-21		武南
川口北高等学校	公立	共学	埼玉県 川口市 木曽呂1477		川口北
熊谷高等学校	公立	男子	埼玉県 熊谷市 大原1-9-1		熊谷
松山高等学校	公立	男子	埼玉県 東松山市 松山町1-6-10		松山
埼玉栄高等学校	私立	共学	埼玉県 さいたま市西区 西大宮3-11-1	中高一貫	埼玉栄
城西大学付属川越高等学校	私立	男子	埼玉県 川越市 山田東町1042	中高一貫	城西大学付属川越
東京農業大学第三高等学校	私立	共学	埼玉県 東松山市 松山1400-1	中高一貫	東京農業大学第三
