愛知医科大学	不明	47.0
青山学院大学	不明	59.0
麻布大学	不明	51.0
岩手医科大学	不明	35.0
大阪医科薬科大学	不明	50.0
岡山理科大学	不明	35.0
金沢医科大学	不明	40.0
関西医科大学	不明	48.0
関西外国語大学	不明	48.0
関西大学	不明	54.0
関西学院大学	不明	53.0
学習院大学	不明	56.0
北里大学	不明	46.0
杏林大学	不明	40.0
近畿大学	不明	49.0
久留米大学	不明	36.0
慶應義塾大学	不明	65.0
工学院大学	不明	53.0
國學院大學	不明	52.0
国際医療福祉大学	不明	41.0
国際基督教大学	不明	67.0
埼玉医科大学	不明	36.0
産業医科大学	不明	42.0
芝浦工業大学	不明	53.0
昭和医科大学	不明	47.0
昭和女子大学	不明	49.0
自治医科大学	不明	47.0
順天堂大学	不明	47.0
上智大学	不明	60.0
成蹊大学	不明	52.0
聖路加国際大学	不明	55.0
崇城大学	不明	41.0
多摩美術大学	不明	45.0
中央大学	不明	57.0
中京大学	不明	50.0
帝京大学	不明	40.0
東海大学	不明	39.0
東京女子医科大学	不明	42.0
東京電機大学	不明	50.0
東京都市大学	不明	50.0
東京理科大学	不明	56.0
東邦大学	不明	45.0
東北医科薬科大学	不明	37.0
東洋大学	不明	48.0
豊田工業大学	不明	60.0
同志社大学	不明	58.0
獨協医科大学	不明	42.0
獨協大学	不明	48.0
名古屋学芸大学	不明	53.0
南山大学	不明	51.0
日本獣医生命科学大学	不明	55.0
日本女子大学	不明	50.0
日本大学	不明	43.0
兵庫医科大学	不明	45.0
福岡大学	不明	45.0
藤田医科大学	不明	46.0
文教大学	不明	43.0
法政大学	不明	56.0
星薬科大学	不明	55.0
武蔵大学	不明	53.0
武蔵野美術大学	不明	48.0
明治学院大学	不明	51.0
明治大学	不明	59.0
明治薬科大学	不明	50.0
酪農学園大学	不明	48.0
立教大学	不明	59.0
立命館大学	不明	54.0
龍谷大学	不明	46.0
早稲田大学	不明	66.0
東京女子大学	不明	48.75
津田塾大学	不明	48.75
東京医科歯科大学	不明	62.1
東京農業大学	不明	45.42
